"Miltal","Modellår","Biltyp","Drivning","Hästkrafter","Färg","Län","Pris..Y.","Märkell"
"3133","2020","halvkombi","2","170","vit","stockholm","228900","bmw_i3"
"6224","2018","halvkombi","2","184","svart","skåne","209800","bmw_i3s"
"1700","2021","halvkombi","2","184","vit","södermanland","309900","bmw_i3s"
"9668","2018","halvkombi","2","170","blå","västernorrland","179900","bmw_i3"
"750","2024","suv","4","272","svart","kalmar","699800","bmw_ix1"
"890","2024","suv","4","306","grå","blekinge","719800","bmw_ix2"
"3940","2020","halvkombi","2","170","vit","jönköping","219900","bmw_i3"
"12220","2020","suv","2","286","vit","jönköping","439900","bmw_ix3"
"3865","2022","suv","4","327","svart","kalmar","649800","bmw_ix"
"6500","2022","suv","4","327","vit","kalmar","629800","bmw_ix"
"3555","2018","halvkombi","2","170","röd","västmanland","208900","bmw_i3"
"5918","2021","halvkombi","2","184","vit","stockholm","234900","bmw_i3s"
"2696","2021","halvkombi","2","184","vit","kalmar","369900","bmw_i3s"
"2231","2021","halvkombi","2","184","grå","västra götaland","329900","bmw_i3s"
"2082","2021","halvkombi","2","184","vit","kalmar","289800","bmw_i3s"
"4545","2022","suv","4","327","grå","blekinge","697000","bmw_ix"
"2651","2022","halvkombi","2","170","svart","östergötland","288900","bmw_i3"
"775","2024","halvkombi","2","340","grön","västra götaland","678900","bmw_i4"
