"X","Miltal","Modellår","Drivning","Hästkrafter","Färg","Län","Biltyp_halvkombi","Biltyp_kombi","Biltyp_sedan","Biltyp_suv","Pris..Y.","Märkell"
322,3600,2021,2,301,"blå","jönköping",1,0,0,0,438800,"ford_mustang"
323,1525,2022,2,301,"svart","jönköping",0,0,1,0,679800,"ford_mustang"
324,1086,2022,2,301,"grå","östergötland",0,0,0,1,499900,"ford_mustang"
325,1445,2022,2,301,"vit","östergötland",0,0,1,0,499900,"ford_mustang"
326,1097,2022,2,301,"röd","östergötland",0,0,1,0,499900,"ford_mustang"
327,1120,2022,4,372,"grå","jönköping",1,0,0,0,499900,"ford_mustang"
328,1390,2022,2,301,"svart","jönköping",1,0,0,0,499900,"ford_mustang"
329,780,2022,2,301,"svart","jönköping",1,0,0,0,499900,"ford_mustang"
330,1660,2022,2,301,"grå","jönköping",1,0,0,0,499900,"ford_mustang"
331,614,2022,2,301,"grå","jönköping",0,0,1,0,499900,"ford_mustang"
332,5600,2021,4,372,"grå","östergötland",0,0,0,1,499900,"ford_mustang"
333,5421,2022,4,351,"svart","stockholm",0,0,0,1,489900,"ford_mustang"
334,9335,2021,2,294,"blå","stockholm",0,0,0,1,399900,"ford_mustang"
335,1150,2022,2,301,"svart","jönköping",1,0,0,0,524000,"ford_mustang"
336,5265,2021,4,372,"röd","stockholm",0,0,0,1,479900,"ford_mustang"
337,2180,2022,2,301,"röd","jönköping",1,0,0,0,699900,"ford_mustang"
338,1000,2022,2,301,"svart","jönköping",0,0,0,1,509000,"ford_mustang"
339,4459,2021,4,372,"vit","södermanland",0,0,0,1,519800,"ford_mustang"
340,3000,2021,4,270,"grå","västmanland",0,0,0,1,419000,"ford_mustang"
341,2547,2022,2,301,"röd","jönköping",0,0,1,0,499900,"ford_mustang"
342,1170,2022,2,301,"vit","örebro",0,0,0,1,499900,"ford_mustang"
343,1500,2022,2,297,"svart","västra götaland",0,0,0,1,539900,"ford_mustang"
344,1600,2022,2,298,"svart","västra götaland",0,0,0,1,539900,"ford_mustang"
345,1366,2022,2,298,"grå","västra götaland",0,0,0,1,539900,"ford_mustang"
346,1100,2023,4,374,"svart","örebro",0,0,0,1,649800,"ford_mustang"
347,3117,2023,2,301,"blå","kronoberg",0,0,0,1,578700,"ford_mustang"
348,1809,2022,2,301,"grå","jönköping",0,0,1,0,499900,"ford_mustang"
349,1000,2022,2,301,"svart","jönköping",0,0,0,1,599900,"ford_mustang"
350,956,2022,2,301,"grå","kronoberg",1,0,0,0,499900,"ford_mustang"
351,1220,2022,2,301,"vit","jönköping",1,0,0,0,499900,"ford_mustang"
352,3300,2022,2,301,"blå","jönköping",0,0,0,1,529700,"ford_mustang"
353,1236,2022,2,301,"svart","östergötland",0,0,1,0,499900,"ford_mustang"
354,600,2022,4,372,"röd","kalmar",0,0,0,1,805700,"ford_mustang"
355,2200,2022,2,301,"grå","södermanland",0,0,0,1,770700,"ford_mustang"
356,2400,2022,2,301,"blå","östergötland",0,0,0,1,551900,"ford_mustang"
357,1244,2022,2,301,"röd","jönköping",0,0,0,1,499900,"ford_mustang"
358,1547,2022,2,298,"grå","västra götaland",0,0,0,1,539900,"ford_mustang"
359,1650,2022,2,301,"vit","östergötland",0,0,0,1,739900,"ford_mustang"
360,1400,2022,2,301,"vit","jönköping",0,0,0,1,539700,"ford_mustang"
361,1485,2022,2,298,"röd","västra götaland",0,0,0,1,539900,"ford_mustang"
362,1553,2022,4,372,"vit","kronoberg",0,0,0,1,763800,"ford_mustang"
363,2800,2022,2,301,"röd","södermanland",0,0,0,1,774700,"ford_mustang"
364,2090,2022,2,301,"orange","jönköping",1,0,0,0,469900,"ford_mustang"
365,5078,2018,2,184,"röd","stockholm",1,0,0,0,218900,"bmw_i3s"
366,5055,2017,2,170,"silver","stockholm",1,0,0,0,199700,"bmw_i3"
367,9476,2017,2,170,"blå","skåne",1,0,0,0,188900,"bmw_i3"
368,8670,2017,2,170,"vit","skåne",1,0,0,0,188900,"bmw_i3"
369,2109,2022,2,286,"svart","kronoberg",0,0,0,1,639800,"bmw_ix3"
370,9403,2019,2,184,"svart","stockholm",1,0,0,0,221900,"bmw_i3s"
371,4427,2019,2,170,"vit","stockholm",1,0,0,0,219900,"bmw_i3"
372,3077,2020,2,170,"vit","stockholm",1,0,0,0,217900,"bmw_i3"
373,6544,2019,2,184,"svart","stockholm",1,0,0,0,221900,"bmw_i3s"
374,2834,2020,2,170,"vit","stockholm",1,0,0,0,219900,"bmw_i3"
375,6391,2019,2,170,"svart","stockholm",1,0,0,0,203900,"bmw_i3"
376,5789,2019,2,184,"brun","stockholm",1,0,0,0,219900,"bmw_i3s"
377,4690,2020,2,184,"vit","stockholm",1,0,0,0,224900,"bmw_i3s"
378,6946,2018,2,184,"röd","stockholm",1,0,0,0,183900,"bmw_i3s"
379,5881,2019,2,184,"röd","stockholm",1,0,0,0,235900,"bmw_i3s"
380,1479,2022,2,170,"vit","stockholm",1,0,0,0,261900,"bmw_i3"
381,4595,2020,2,184,"grå","stockholm",1,0,0,0,244900,"bmw_i3"
382,5921,2018,2,184,"blå","stockholm",1,0,0,0,219800,"bmw_i3s"
383,2018,2022,2,184,"blå","stockholm",1,0,0,0,292900,"bmw_i3s"
384,2189,2022,2,184,"grå","stockholm",1,0,0,0,272900,"bmw_i3"
385,5502,2017,2,170,"svart","västra götaland",1,0,0,0,204800,"bmw_i3"
386,9096,2015,2,170,"vit","skåne",1,0,0,0,149800,"bmw_i3"
387,3190,2023,2,340,"vit","jönköping",1,0,0,0,599800,"bmw_i4"
388,2990,2020,2,170,"vit","jönköping",1,0,0,0,224900,"bmw_i3"
389,1449,2023,4,272,"svart","kalmar",0,0,0,1,589900,"bmw_ix1"
390,2778,2022,4,327,"grå","kalmar",0,0,0,1,759900,"bmw_ix"
391,3150,2021,2,286,"silver","kalmar",0,0,0,1,559900,"bmw_ix3"
392,3133,2020,2,170,"vit","stockholm",1,0,0,0,228900,"bmw_i3"
393,6224,2018,2,184,"svart","skåne",1,0,0,0,209800,"bmw_i3s"
394,1700,2021,2,184,"vit","södermanland",1,0,0,0,309900,"bmw_i3s"
395,9668,2018,2,170,"blå","västernorrland",1,0,0,0,179900,"bmw_i3"
396,750,2024,4,272,"svart","kalmar",0,0,0,1,699800,"bmw_ix1"
397,890,2024,4,306,"grå","blekinge",0,0,0,1,719800,"bmw_ix2"
398,3940,2020,2,170,"vit","jönköping",1,0,0,0,219900,"bmw_i3"
399,12220,2020,2,286,"vit","jönköping",0,0,0,1,439900,"bmw_ix3"
400,3865,2022,4,327,"svart","kalmar",0,0,0,1,649800,"bmw_ix"
401,6500,2022,4,327,"vit","kalmar",0,0,0,1,629800,"bmw_ix"
402,3555,2018,2,170,"röd","västmanland",1,0,0,0,208900,"bmw_i3"
403,5918,2021,2,184,"vit","stockholm",1,0,0,0,234900,"bmw_i3s"
404,2696,2021,2,184,"vit","kalmar",1,0,0,0,369900,"bmw_i3s"
405,2231,2021,2,184,"grå","västra götaland",1,0,0,0,329900,"bmw_i3s"
406,2082,2021,2,184,"vit","kalmar",1,0,0,0,289800,"bmw_i3s"
407,4545,2022,4,327,"grå","blekinge",0,0,0,1,697000,"bmw_ix"
408,2651,2022,2,170,"svart","östergötland",1,0,0,0,288900,"bmw_i3"
409,775,2024,2,340,"grön","västra götaland",1,0,0,0,678900,"bmw_i4"
