"Miltal","Modellår","Hästkrafter","Färg","Län","Biltyp_halvkombi","Biltyp_kombi","Biltyp_sedan","Biltyp_suv","Drivning_2","Drivning_4","Pris..Y.","Märkell"
1445,2022,301,"vit","östergötland",0,0,1,0,1,0,499900,"ford_mustang"
1097,2022,301,"röd","östergötland",0,0,1,0,1,0,499900,"ford_mustang"
1120,2022,372,"grå","jönköping",1,0,0,0,0,1,499900,"ford_mustang"
1390,2022,301,"svart","jönköping",1,0,0,0,1,0,499900,"ford_mustang"
780,2022,301,"svart","jönköping",1,0,0,0,1,0,499900,"ford_mustang"
1660,2022,301,"grå","jönköping",1,0,0,0,1,0,499900,"ford_mustang"
614,2022,301,"grå","jönköping",0,0,1,0,1,0,499900,"ford_mustang"
5600,2021,372,"grå","östergötland",0,0,0,1,0,1,499900,"ford_mustang"
5421,2022,351,"svart","stockholm",0,0,0,1,0,1,489900,"ford_mustang"
9335,2021,294,"blå","stockholm",0,0,0,1,1,0,399900,"ford_mustang"
1150,2022,301,"svart","jönköping",1,0,0,0,1,0,524000,"ford_mustang"
5265,2021,372,"röd","stockholm",0,0,0,1,0,1,479900,"ford_mustang"
2180,2022,301,"röd","jönköping",1,0,0,0,1,0,699900,"ford_mustang"
1000,2022,301,"svart","jönköping",0,0,0,1,1,0,509000,"ford_mustang"
4459,2021,372,"vit","södermanland",0,0,0,1,0,1,519800,"ford_mustang"
3000,2021,270,"grå","västmanland",0,0,0,1,0,1,419000,"ford_mustang"
2547,2022,301,"röd","jönköping",0,0,1,0,1,0,499900,"ford_mustang"
1170,2022,301,"vit","örebro",0,0,0,1,1,0,499900,"ford_mustang"
1500,2022,297,"svart","västra götaland",0,0,0,1,1,0,539900,"ford_mustang"
1600,2022,298,"svart","västra götaland",0,0,0,1,1,0,539900,"ford_mustang"
1366,2022,298,"grå","västra götaland",0,0,0,1,1,0,539900,"ford_mustang"
1100,2023,374,"svart","örebro",0,0,0,1,0,1,649800,"ford_mustang"
3117,2023,301,"blå","kronoberg",0,0,0,1,1,0,578700,"ford_mustang"
1809,2022,301,"grå","jönköping",0,0,1,0,1,0,499900,"ford_mustang"
1000,2022,301,"svart","jönköping",0,0,0,1,1,0,599900,"ford_mustang"
956,2022,301,"grå","kronoberg",1,0,0,0,1,0,499900,"ford_mustang"
1220,2022,301,"vit","jönköping",1,0,0,0,1,0,499900,"ford_mustang"
3300,2022,301,"blå","jönköping",0,0,0,1,1,0,529700,"ford_mustang"
1236,2022,301,"svart","östergötland",0,0,1,0,1,0,499900,"ford_mustang"
600,2022,372,"röd","kalmar",0,0,0,1,0,1,805700,"ford_mustang"
2200,2022,301,"grå","södermanland",0,0,0,1,1,0,770700,"ford_mustang"
2400,2022,301,"blå","östergötland",0,0,0,1,1,0,551900,"ford_mustang"
1244,2022,301,"röd","jönköping",0,0,0,1,1,0,499900,"ford_mustang"
1547,2022,298,"grå","västra götaland",0,0,0,1,1,0,539900,"ford_mustang"
1650,2022,301,"vit","östergötland",0,0,0,1,1,0,739900,"ford_mustang"
1400,2022,301,"vit","jönköping",0,0,0,1,1,0,539700,"ford_mustang"
1485,2022,298,"röd","västra götaland",0,0,0,1,1,0,539900,"ford_mustang"
1553,2022,372,"vit","kronoberg",0,0,0,1,0,1,763800,"ford_mustang"
2800,2022,301,"röd","södermanland",0,0,0,1,1,0,774700,"ford_mustang"
2090,2022,301,"orange","jönköping",1,0,0,0,1,0,469900,"ford_mustang"
5078,2018,184,"röd","stockholm",1,0,0,0,1,0,218900,"bmw_i3s"
5055,2017,170,"silver","stockholm",1,0,0,0,1,0,199700,"bmw_i3"
9476,2017,170,"blå","skåne",1,0,0,0,1,0,188900,"bmw_i3"
8670,2017,170,"vit","skåne",1,0,0,0,1,0,188900,"bmw_i3"
2109,2022,286,"svart","kronoberg",0,0,0,1,1,0,639800,"bmw_ix3"
9403,2019,184,"svart","stockholm",1,0,0,0,1,0,221900,"bmw_i3s"
4427,2019,170,"vit","stockholm",1,0,0,0,1,0,219900,"bmw_i3"
3077,2020,170,"vit","stockholm",1,0,0,0,1,0,217900,"bmw_i3"
6544,2019,184,"svart","stockholm",1,0,0,0,1,0,221900,"bmw_i3s"
2834,2020,170,"vit","stockholm",1,0,0,0,1,0,219900,"bmw_i3"
6391,2019,170,"svart","stockholm",1,0,0,0,1,0,203900,"bmw_i3"
5789,2019,184,"brun","stockholm",1,0,0,0,1,0,219900,"bmw_i3s"
4690,2020,184,"vit","stockholm",1,0,0,0,1,0,224900,"bmw_i3s"
6946,2018,184,"röd","stockholm",1,0,0,0,1,0,183900,"bmw_i3s"
5881,2019,184,"röd","stockholm",1,0,0,0,1,0,235900,"bmw_i3s"
1479,2022,170,"vit","stockholm",1,0,0,0,1,0,261900,"bmw_i3"
4595,2020,184,"grå","stockholm",1,0,0,0,1,0,244900,"bmw_i3"
5921,2018,184,"blå","stockholm",1,0,0,0,1,0,219800,"bmw_i3s"
2018,2022,184,"blå","stockholm",1,0,0,0,1,0,292900,"bmw_i3s"
2189,2022,184,"grå","stockholm",1,0,0,0,1,0,272900,"bmw_i3"
5502,2017,170,"svart","västra götaland",1,0,0,0,1,0,204800,"bmw_i3"
9096,2015,170,"vit","skåne",1,0,0,0,1,0,149800,"bmw_i3"
3190,2023,340,"vit","jönköping",1,0,0,0,1,0,599800,"bmw_i4"
2990,2020,170,"vit","jönköping",1,0,0,0,1,0,224900,"bmw_i3"
1449,2023,272,"svart","kalmar",0,0,0,1,0,1,589900,"bmw_ix1"
2778,2022,327,"grå","kalmar",0,0,0,1,0,1,759900,"bmw_ix"
3150,2021,286,"silver","kalmar",0,0,0,1,1,0,559900,"bmw_ix3"
3133,2020,170,"vit","stockholm",1,0,0,0,1,0,228900,"bmw_i3"
6224,2018,184,"svart","skåne",1,0,0,0,1,0,209800,"bmw_i3s"
1700,2021,184,"vit","södermanland",1,0,0,0,1,0,309900,"bmw_i3s"
9668,2018,170,"blå","västernorrland",1,0,0,0,1,0,179900,"bmw_i3"
750,2024,272,"svart","kalmar",0,0,0,1,0,1,699800,"bmw_ix1"
890,2024,306,"grå","blekinge",0,0,0,1,0,1,719800,"bmw_ix2"
3940,2020,170,"vit","jönköping",1,0,0,0,1,0,219900,"bmw_i3"
12220,2020,286,"vit","jönköping",0,0,0,1,1,0,439900,"bmw_ix3"
3865,2022,327,"svart","kalmar",0,0,0,1,0,1,649800,"bmw_ix"
6500,2022,327,"vit","kalmar",0,0,0,1,0,1,629800,"bmw_ix"
3555,2018,170,"röd","västmanland",1,0,0,0,1,0,208900,"bmw_i3"
5918,2021,184,"vit","stockholm",1,0,0,0,1,0,234900,"bmw_i3s"
2696,2021,184,"vit","kalmar",1,0,0,0,1,0,369900,"bmw_i3s"
2231,2021,184,"grå","västra götaland",1,0,0,0,1,0,329900,"bmw_i3s"
2082,2021,184,"vit","kalmar",1,0,0,0,1,0,289800,"bmw_i3s"
4545,2022,327,"grå","blekinge",0,0,0,1,0,1,697000,"bmw_ix"
2651,2022,170,"svart","östergötland",1,0,0,0,1,0,288900,"bmw_i3"
775,2024,340,"grön","västra götaland",1,0,0,0,1,0,678900,"bmw_i4"
