"Miltal","Modellår","Hästkrafter","Färg","Län","Biltyp_halvkombi","Biltyp_kombi","Biltyp_sedan","Biltyp_suv","Drivning_2","Drivning_4","Pris..Y.","Märkell"
3041,2021,150,"vit","stockholm",1,0,0,0,1,0,178900,"nissan_leaf"
1504,2022,218,"grå","stockholm",1,0,0,0,1,0,288900,"nissan_leaf"
6106,2019,150,"vit","stockholm",1,0,0,0,1,0,176900,"nissan_leaf"
2720,2020,150,"brun","jönköping",1,0,0,0,1,0,239900,"nissan_leaf"
15536,2020,218,"mörkgrå","stockholm",1,0,0,0,1,0,199900,"nissan_leaf"
4468,2021,150,"svart","kalmar",1,0,0,0,1,0,245000,"nissan_leaf"
9650,2016,109,"svart","västra götaland",1,0,0,0,1,0,128800,"nissan_leaf"
2570,2022,150,"ljusgrå","stockholm",1,0,0,0,1,0,214900,"nissan_leaf"
2723,2016,109,"brun","halland",1,0,0,0,1,0,129000,"nissan_leaf"
2027,2020,150,"röd","skåne",1,0,0,0,1,0,199900,"nissan_leaf"
567,2023,221,"mörkgrön","västerbotten",0,0,0,1,1,0,499900,"nissan_ariya"
5310,2020,218,"vit","jönköping",1,0,0,0,1,0,254900,"nissan_leaf"
2955,2022,150,"vit","södermanland",1,0,0,0,1,0,209000,"nissan_leaf"
2078,2023,243,"svart","stockholm",0,0,0,1,1,0,499900,"nissan_ariya"
3440,2021,150,"röd","dalarna",1,0,0,0,1,0,209900,"nissan_leaf"
700,2023,243,"ljusgrå","kalmar",0,0,0,1,1,0,599900,"nissan_ariya"
950,2023,243,"blå","jönköping",0,0,0,1,1,0,579800,"nissan_ariya"
4990,2020,313,"grå","östergötland",0,0,0,1,0,1,415900,"audi_e-tron"
9208,2020,313,"svart","stockholm",0,0,0,1,0,1,354900,"audi_e-tron"
5326,2022,408,"silver","stockholm",0,0,0,1,0,1,594900,"audi_e-tron"
3438,2020,408,"blå","västra götaland",0,0,0,1,0,1,589800,"audi_e-tron"
4937,2020,313,"svart","västra götaland",0,0,0,1,0,1,399800,"audi_e-tron"
500,2023,325,"röd","jönköping",0,0,1,0,1,0,589900,"hyundai_ioniq"
900,2023,325,"grå","jönköping",0,0,1,0,0,1,609900,"hyundai_ioniq"
7200,2019,204,"orange","jönköping",1,0,0,0,1,0,259900,"hyundai_kona"
7213,2018,120,"mörkblå","uppsala",1,0,0,0,1,0,169400,"hyundai_ioniq"
2133,2021,204,"vit","kronoberg",1,0,0,0,1,0,329800,"hyundai_kona"
8649,2017,120,"silver","stockholm",1,0,0,0,1,0,177900,"hyundai_ioniq"
2952,2019,120,"silver","västra götaland",1,0,0,0,1,0,184000,"hyundai_ioniq"
2070,2021,204,"röd","kalmar",1,0,0,0,1,0,334900,"hyundai_kona"
6900,2020,204,"vit","jönköping",0,0,0,1,1,0,269900,"hyundai_kona"
4500,2020,313,"svart","västra götaland",0,0,0,1,0,1,439000,"audi_e-tron"
8897,2022,218,"vit","kronoberg",0,0,0,1,1,0,419900,"hyundai_ioniq"
1554,2023,204,"grå","skåne",0,0,0,1,1,0,549000,"audi_q4"
4000,2021,218,"grå","jönköping",1,0,0,0,1,0,459800,"hyundai_ioniq"
1700,2023,325,"vit","jönköping",0,0,1,0,0,1,599900,"hyundai_ioniq"
588,2023,229,"grön","västra götaland",0,0,0,1,1,0,549900,"hyundai_ioniq"
5937,2020,136,"grå","östergötland",1,0,0,0,1,0,229000,"hyundai_ioniq"
1600,2023,325,"blå","örebro",0,0,1,0,0,1,609900,"hyundai_ioniq"
1600,2023,325,"blå","örebro",0,0,1,0,0,1,599900,"hyundai_ioniq"
1900,2023,325,"grå","örebro",0,0,0,1,0,1,548900,"hyundai_ioniq"
700,2024,218,"grå","jönköping",0,0,0,1,1,0,595200,"hyundai_kona"
1000,2023,325,"svart","jönköping",0,0,1,0,0,1,660700,"hyundai_ioniq"
2600,2019,120,"vit","blekinge",1,0,0,0,1,0,219900,"hyundai_ioniq"
2600,2021,408,"röd","västra götaland",0,0,0,1,0,1,619000,"audi_e-tron"
5656,2019,120,"blå","skåne",1,0,0,0,1,0,184500,"hyundai_ioniq"
10283,2020,138,"vit","västra götaland",1,0,0,0,1,0,219900,"hyundai_ioniq"
10895,2021,408,"svart","värmland",0,0,0,1,0,1,439500,"audi_e-tron"
500,2023,325,"svart","jönköping",0,0,1,0,1,0,639800,"hyundai_ioniq"
800,2024,218,"grå","kalmar",0,0,0,1,1,0,569900,"hyundai_kona"
1400,2023,300,"svart","västra götaland",0,0,0,1,0,1,605000,"audi_q4"
2990,2023,325,"grå","västra götaland",0,0,1,0,0,1,634900,"hyundai_ioniq"
600,2023,325,"grå","västra götaland",1,0,0,0,0,1,619900,"hyundai_ioniq"
3730,2020,408,"svart","värmland",0,0,0,1,0,1,459500,"audi_e-tron"
600,2024,325,"blå","kalmar",0,0,1,0,0,1,639800,"hyundai_ioniq"
1000,2023,325,"vit","kalmar",0,0,1,0,0,1,599900,"hyundai_ioniq"
1350,2023,325,"blå","jönköping",0,0,1,0,0,1,599900,"hyundai_ioniq"
500,2024,218,"grå","kronoberg",0,0,0,1,1,0,595200,"hyundai_kona"
1290,2023,325,"vit","jönköping",0,0,1,0,0,1,609900,"hyundai_ioniq"
9900,2020,204,"vit","västra götaland",0,0,0,1,1,0,259900,"hyundai_kona"
800,2024,218,"vit","västra götaland",0,0,0,1,1,0,549900,"hyundai_kona"
1500,2023,325,"blå","västra götaland",0,0,1,0,0,1,599900,"hyundai_ioniq"
800,2023,325,"gul","blekinge",0,0,0,1,1,0,639800,"hyundai_ioniq"
600,2023,325,"grå","kronoberg",1,0,0,0,0,1,599900,"hyundai_ioniq"
850,2023,325,"blå","blekinge",0,0,1,0,0,1,599900,"hyundai_ioniq"
3000,2020,120,"vit","skåne",1,0,0,0,1,0,229900,"hyundai_ioniq"
3683,2022,300,"mörkgrå","stockholm",0,0,0,1,0,1,457900,"volkswagen_id.4"
